n_probes,parallel_mode,run,queries_per_s,latency_50th,latency_95th
8,0,1,45851.59001329862,0.5290508270263672,0.6964206695556641
8,0,2,47583.28144060933,0.5295276641845703,0.7069349288940426
8,1,0,18623.527154056203,0.8807182312011719,1.2188076972961424
8,1,1,17397.44247926032,0.8776187896728516,1.3011693954467756
8,1,2,23622.708371936635,0.8795261383056641,1.4104962348937986
8,2,0,36526.75425659552,0.8368492126464844,1.3978600502014158
8,2,1,17571.497594316264,0.8559226989746094,1.1919021606445306
8,2,2,25287.444469927003,0.8792877197265625,2.136385440826414
16,0,0,31774.61627015163,1.689314842224121,2.3744583129882804
16,0,1,32187.142774702035,1.689910888671875,2.372372150421141
16,0,2,27068.775133123676,1.6930103302001953,2.371573448181152
16,1,0,7575.689132291188,1.5881061553955078,2.4862289428710938
16,1,1,7066.947124718347,1.5982389450073242,3.82930040359497
16,1,2,6911.316798786174,1.5981197357177734,2.671766281127929
16,2,0,14274.530026274939,1.5878677368164062,4.288542270660399
16,2,1,23983.055489703187,1.619100570678711,4.589021205902097
16,2,2,16910.23188399954,1.5957355499267578,4.428398609161377
32,0,0,18419.88514799968,2.4319887161254883,3.2770872116088863
32,0,1,16342.448685839352,2.4935007095336914,3.572237491607666
32,0,2,18232.25496390849,3.5802125930786133,4.848551750183105
32,1,0,4895.532827928576,3.7813186645507812,7.495653629302961
32,1,1,3631.960508470176,3.716588020324707,6.569051742553709
32,1,2,3643.8774060868445,4.09245491027832,7.10850954055786
32,2,0,4671.700755525442,3.19063663482666,8.156764507293698
32,2,1,5835.085772604519,3.005504608154297,6.158387660980221
32,2,2,7337.04188029471,2.9697418212890625,4.939603805541991
64,0,0,10401.969276932756,4.799842834472656,6.24953508377075
64,0,1,11168.653050755825,4.3212175369262695,5.420219898223877
64,0,2,11960.39337888219,4.282712936401367,5.460309982299804
64,1,0,2207.0704190921897,4.134774208068848,8.512914180755613
64,1,1,2388.616381029298,4.512906074523926,6.891143321990965
64,1,2,2890.073028588516,4.497170448303223,7.676696777343746
64,2,0,2803.9380963150984,4.44340705871582,7.695686817169186
64,2,1,2917.5749719815894,4.294872283935547,6.983351707458495
64,2,2,3005.220522274056,4.254937171936035,7.206487655639644
128,0,0,5523.328452025304,7.85982608795166,10.465288162231444
128,0,1,6512.189799091303,7.336020469665527,9.359407424926758
128,0,2,5462.474834096516,7.225990295410156,9.27046537399292
128,1,0,1195.1019393656863,6.969094276428223,12.750875949859616
128,1,1,1702.3917418310753,7.872462272644043,10.853767395019531
128,1,2,1292.7700175828636,8.815169334411621,12.931835651397705
128,2,0,1848.2139879617635,8.296012878417969,13.602769374847409
128,2,1,1734.388154152196,8.29017162322998,13.498377799987791
128,2,2,1817.0268566736404,8.602023124694824,17.99137592315673
